Strain Name,Type,Genetics,Avg THC,Avg CBD,Avg CBG,Avg THCV,Avg Terp Total,Dom Terp 1,Dom Terp 1 %,Dom Terp 2,Dom Terp 2 %,Dom Terp 3,Dom Terp 3 %,Effects,Nose,Flavor,Status
Peanut Butter Gelato,Hybrid,Peanut Butter Breath x Gelato,28.0,0.5,0.8,0.2,3.5,b-Caryophyllene,0.89,Limonene,0.67,Linalool,0.45,Creative Euphoric Relaxed,Nutty peanut butter aroma with creamy gelato notes,Rich peanut butter flavor with smooth gelato finish,Active
Sherb Cream Pie,Indica,Ice Cream Cake x Sherb BX1,26.2,0.58,0.8,0.05,2.6,b-Caryophyllene,1.12,Limonene,0.80,Linalool,0.32,"Relaxing, Euphoric, Sleepy","Rich, sweet cream with a hint of earthiness","Creamy vanilla and sweet berry notes with a smooth finish",Active
PB Gelato,Indica,PB Cookies x Starfighter x SC x Gelato,31.2,0.6,0.9,0.08,2.9,Limonene,0.93,b-Caryophyllene,0.69,Linalool,0.32,"Very Potent, Relaxing, Happy","Roasted peanut butter with a sweet and fruity undertone","Nutty, creamy, and sweet with a gelato-like smoothness",Active
Kept Secret,Hybrid,Jealousy x Oreoz,29.05,0.8,1.0,0.12,1.56,Limonene,0.55,b-Caryophyllene,0.49,a-humene,0.12,"Balanced, Euphoric, Relaxing","Herbal and citrusy with a hint of creamy sweetness","Subtle citrus with earthy and herbal notes",Active
Charmz,Hybrid,Lemon Cherry Gelato x Zlushiez,30.78,0.9,2.0,0.15,1.63,b-Myrcene,0.49,b-Caryophyllene,0.39,Limonene,0.34,"Happy, Creative, Balanced Relaxation","Sweet berries with a citrusy, candy-like aroma","Bright, fruity flavors with lemon and cherry highlights",Active
Stay Puft,Hybrid,Grape Gasoline x Marshmallow OG,30.2,0.7,1.4,0.1,3.2,b-Myrcene,1.73,Limonene,0.73,b-Caryophyllene,0.27,"Relaxing, mood-enhancing","Rich grape, sugary marshmallow scent","Sweet grape with creamy undertones",Active
41 Gs,Hybrid,Gelato 41 x Gary Payton,29.9,0.86,0.86,0.5,2.15,b-Caryophyllene,0.57,b-Myrcene,0.57,Limonene,0.42,"Potent, Balanced, Euphoric","Sweet & creamy with citrus/gas","Dessert-like citrus, creamy/gassy",Active
Garlic Gravity,Sativa,Garlatti x Zero Gravity,25.5,0.6,0.75,0.52,3.2,Limonene,0.99,b-Myrcene,0.99,b-Caryophyllene,0.90,"Focused, Creative, Uplifting","Pungent garlic, earthy/gassy","Savory, herbal, spicy/creamy finish",Active
Gushcanna,Sativa,Gushers x Tropicana,23.96,1.1,1.36,0.15,2.12,b-Caryophyllene,0.86,Limonene,0.38,a-humene,0.23,"Uplifting, Energetic, Creative","Fruity, tropical, slightly floral","Tropical citrus, candy sweetness",Active
Dirt N Worms,Hybrid,Gummy Worms x Quicksand,23.83,0.9,0.85,0.1,1.40,Limonene,0.53,b-Caryophyllene,0.41,Linalool,0.13,"Mellow, Euphoric, Creative","Earthy with fruity candy twist","Earthy sweetness, fruity candy hints",Active
Melted Strawberries,Sativa,GMO x Strawberry Guava,34.33,0.8,0.58,0.12,2.61,b-Myrcene,1.20,b-Caryophyllene,0.55,Limonene,0.40,"Pain relief, Uplifting, Creative","Sugar, Fruit, Herbal","Sweet, Berry, Garlic",Active
Triple Burger,Indica,GMO x Double Burger,29.95,0.6,0.91,0.08,1.92,b-Caryophyllene,0.77,b-Myrcene,0.47,Limonene,0.25,"relaxed, sleepy, tingly","garlic, butter, diesel","ammonia, butter, blue cheese",Active
